GO	description	category	ERR2014354	ERR2014355	ERR2014356	ERR2014357	ERR2014358	ERR2014359	ERR2014360	ERR2014361	ERR2014362	ERR2014363	ERR2014364	ERR2014365	ERR2014366	ERR2014367	ERR2014368	ERR2014369	ERR2014370	ERR2014371	ERR2014372	ERR2014373	ERR2014374	ERR2014375	ERR2014376	ERR2014377	ERR2014378	ERR2014379	ERR2014380	ERR2014381	ERR2014382	ERR2014383	ERR2014384	ERR2014385	ERR2014386	ERR2014387	ERR2014388	ERR2014389	ERR2014390	ERR2014391	ERR2014392	ERR2014393
GO:0000272	polysaccharide catabolic process	biological process	84	2	0	3	250	8	4	32	2	30	35	126	1	116	3	0	46	77	48	1	101	111	104	2	247	0	0	1	0	72	0	1	1	0	138	2	2	3	55	40
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	cellular component	45	16	89	28	68	8	8	5	3	1	3	12	12	59	64	101	1	8	9	52	4	3	1	6	3	72	25	23	61	0	47	15	29	31	6	23	0	11	2	7
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular component	17	7	30	16	15	5	12	3	16	1	6	0	26	13	41	78	2	3	5	22	2	2	1	13	3	37	17	22	25	5	34	8	45	28	1	22	0	1	2	0
GO:0000281	mitotic cytokinesis	biological process	3	1	4	3	4	1	0	2	3	0	0	0	3	5	2	2	0	0	0	1	0	1	0	0	0	0	1	1	2	0	1	1	0	0	0	2	0	0	0	1
GO:0000287	magnesium ion binding	molecular function	29341	1879	12151	15381	26113	44612	30043	46025	7559	24361	31031	21733	2170	34378	19055	45219	26364	37315	33823	6826	29139	28344	33041	2615	48446	57752	50641	34621	32352	25697	45314	24191	45351	9134	46119	6079	45570	38632	33956	37750
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	biological process	2	4	3	0	2	0	0	0	1	0	0	0	2	0	2	3	0	0	2	2	2	2	0	0	1	2	2	1	0	0	1	0	3	3	0	2	0	0	0	0
GO:0000323	lytic vacuole	cellular component	7	4	3	6	7	1	1	0	1	0	1	0	1	2	2	3	1	0	1	3	0	2	0	2	1	1	2	0	2	0	0	2	1	1	0	2	0	0	0	2
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	molecular function	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GO:0000340	RNA 7-methylguanosine cap binding	molecular function	1	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	1	0	1	0	0	0	0	3	0	2	0	0	0	0
GO:0000387	spliceosomal snRNP assembly	biological process	2	0	1	1	0	1	0	0	2	0	0	0	3	0	3	0	0	0	1	0	0	1	0	2	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0000398	mRNA splicing, via spliceosome	biological process	38	41	78	48	43	11	20	7	19	0	2	10	35	28	134	128	2	9	13	61	3	15	0	27	6	93	26	55	69	1	101	24	43	99	1	41	2	7	3	6
GO:0000413	protein peptidyl-prolyl isomerization	biological process	1580	278	1129	636	1350	1782	1260	1732	380	1120	1011	1035	355	1505	948	1581	651	1357	2661	612	1218	1231	1805	212	2155	1105	650	660	758	1987	1505	716	1161	579	1783	261	1085	1427	946	3273
GO:0000439	core TFIIH complex	cellular component	1	5	3	6	4	3	2	0	4	1	0	1	11	7	9	10	0	0	0	3	1	2	0	7	0	4	7	3	6	0	7	2	5	9	0	1	0	1	1	0
GO:0000444	MIS12/MIND type complex	cellular component	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	1	1	0	0	0	0	0	0
GO:0000445	THO complex part of transcription export complex	cellular component	1	0	5	1	4	0	1	0	0	0	0	0	0	3	7	10	0	1	1	1	0	0	0	0	0	5	0	3	3	1	1	0	2	1	0	1	0	0	0	0
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological process	2	4	4	7	3	0	2	1	2	0	0	0	1	4	1	8	0	0	0	2	0	0	0	4	0	3	1	2	2	0	1	6	3	4	0	3	0	0	0	0
GO:0000469	cleavage involved in rRNA processing	biological process	3	0	1	0	0	0	2	0	0	0	0	0	1	2	6	2	0	0	0	1	0	0	0	1	0	3	0	4	0	0	4	0	1	4	0	1	0	1	0	0
GO:0000502	proteasome complex	cellular component	1	1	0	0	0	0	2	0	0	0	0	0	1	0	1	4	0	0	0	1	0	0	0	2	0	2	0	0	3	0	1	0	0	1	0	1	0	0	0	0
GO:0000723	telomere maintenance	biological process	34	2	1	0	63	131	118	47	4	64	39	36	1	39	3	6	55	63	155	0	123	123	64	1	224	1	1	1	3	149	0	0	0	1	123	0	131	71	94	57
GO:0000724	double-strand break repair via homologous recombination	biological process	0	1	0	0	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2	0
GO:0000737	DNA catabolic process, endonucleolytic	biological process	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000746	conjugation	biological process	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000772	mating pheromone activity	molecular function	0	1	0	1	1	0	0	1	0	0	0	3	3	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	2	0	0	0	0
GO:0000774	adenyl-nucleotide exchange factor activity	molecular function	7078	128	970	2068	3863	5524	2831	13651	1389	2418	3182	3263	247	2841	3484	4690	2531	2997	13683	1101	3645	5849	3488	313	19020	6348	5163	4685	3971	2070	4969	3455	5405	1147	3783	433	3427	3334	7072	6678
GO:0000775	chromosome, centromeric region	cellular component	3	9	3	7	1	0	2	1	4	0	0	0	12	4	4	6	0	0	0	3	4	4	1	8	0	8	4	7	2	1	12	3	1	6	0	9	0	0	0	1
GO:0000776	kinetochore	cellular component	6	7	6	7	2	1	1	0	6	1	1	0	10	0	4	5	1	0	3	2	1	0	0	7	2	0	1	8	2	0	1	7	3	5	0	15	0	1	0	0
GO:0000784	nuclear chromosome, telomeric region	cellular component	0	2	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	2	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0
GO:0000785	chromatin	cellular component	32	89	83	76	35	20	37	10	62	1	5	5	87	5	136	85	6	5	18	82	8	20	6	51	9	102	55	86	59	13	117	59	85	86	4	74	1	5	5	4
GO:0000786	nucleosome	cellular component	747	614	2029	921	951	236	621	90	112	13	89	82	256	922	1837	2536	42	104	116	916	45	85	23	100	110	1661	420	695	1119	34	1190	153	433	1059	31	424	40	115	55	80
GO:0000795	synaptonemal complex	cellular component	5	8	4	4	2	0	1	1	1	0	3	0	4	0	5	1	0	0	2	5	2	3	0	5	0	1	4	2	7	1	1	3	2	2	0	7	0	0	0	0
GO:0000796	condensin complex	cellular component	0	2	3	0	0	0	0	0	1	0	0	0	1	1	0	5	0	0	2	0	0	0	0	2	0	1	0	0	0	0	1	3	1	1	0	1	0	1	0	1
GO:0000808	origin recognition complex	cellular component	0	1	7	4	1	0	1	1	3	0	0	0	3	2	1	2	0	0	0	2	0	1	0	0	0	5	2	2	0	0	3	2	3	6	0	1	0	1	0	1
GO:0000813	ESCRT I complex	cellular component	0	2	3	5	5	1	0	0	1	1	0	0	1	1	1	7	0	0	0	2	1	1	0	0	0	2	1	3	4	0	0	3	4	2	0	1	0	0	3	0
GO:0000902	cell morphogenesis	biological process	6240	1129	9437	5614	4791	2020	4357	9553	3885	4894	8942	9671	1177	7340	7126	20992	5957	10229	2727	2962	1458	2044	8937	1589	4275	16476	23044	11514	10967	3446	12070	6511	13891	3546	12227	3099	3358	2465	2741	2874
GO:0000917	barrier septum assembly	biological process	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0000921	septin ring assembly	biological process	26	20	267	235	18	55	149	24	150	28	5	6	37	238	303	636	14	7	139	184	19	145	196	166	105	720	1326	529	574	20	348	202	431	109	16	225	60	54	15	27
GO:0000922	spindle pole	cellular component	2	4	6	5	7	0	0	1	0	0	0	0	8	2	3	7	0	2	0	8	1	3	0	7	2	6	0	8	8	0	3	0	2	1	0	2	0	4	1	0
GO:0000930	gamma-tubulin complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000940	condensed chromosome outer kinetochore	cellular component	1	1	1	5	0	0	0	0	4	0	2	0	2	0	3	0	1	0	0	3	0	0	0	0	0	2	0	6	1	0	3	1	1	2	0	2	0	0	0	0
GO:0000959	mitochondrial RNA metabolic process	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000975	regulatory region DNA binding	molecular function	98	70	254	45	304	12	15	16	6	2	7	12	17	80	153	487	5	16	16	57	16	36	1	6	2	58	21	31	32	2	55	6	30	45	9	44	0	6	2	2
GO:0000976	transcription regulatory region sequence-specific DNA binding	molecular function	1	7	1	4	0	0	4	1	7	0	0	1	4	0	4	2	0	0	1	8	0	1	0	2	0	3	1	7	1	1	24	5	6	8	0	3	0	0	0	2
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	molecular function	10	14	33	19	13	9	0	4	13	0	2	0	29	21	22	34	0	2	0	18	5	7	0	21	1	3	1	16	9	1	7	7	7	13	1	23	0	2	2	1
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	molecular function	0	4	1	4	1	0	0	2	3	1	0	0	11	7	2	16	0	1	1	2	0	1	0	2	0	0	0	4	1	0	1	3	1	0	0	3	0	0	0	1
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	molecular function	10	14	33	19	13	9	0	4	13	0	2	0	29	21	22	34	0	2	0	18	5	7	0	21	1	3	1	16	9	1	7	7	7	13	1	23	0	2	2	1
GO:0001000	bacterial-type RNA polymerase core enzyme binding	molecular function	691	3	1	0	338	2162	1848	437	56	465	368	370	0	676	1	8	536	806	2581	1	1242	866	898	1	2267	1	4	0	0	2303	2	1	1	1	667	2	1414	1275	837	2888
GO:0001104	RNA polymerase II transcription cofactor activity	molecular function	29	36	81	46	31	14	39	6	17	0	3	5	61	30	266	206	6	12	7	98	3	7	2	32	25	213	80	133	149	1	205	37	90	138	1	59	2	9	5	5
GO:0001106	RNA polymerase II transcription corepressor activity	molecular function	1	1	3	2	2	2	0	0	0	0	0	0	0	1	6	6	0	0	0	4	0	0	0	0	0	6	0	2	4	0	4	1	2	1	0	0	0	0	0	0
GO:0001503	ossification	biological process	41	34	109	38	46	14	10	3	12	0	3	9	28	85	199	111	2	32	13	109	5	8	0	12	4	18	5	4	27	4	45	12	18	76	2	26	3	36	2	8
GO:0001505	regulation of neurotransmitter levels	biological process	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001510	RNA methylation	biological process	4	2	4	1	0	1	0	0	1	11	0	1	1	1	2	1	3	8	3	0	0	2	0	6	1	4	0	2	2	4	0	6	0	0	0	2	0	1	1	0
GO:0001514	selenocysteine incorporation	biological process	2	0	0	0	13	6	1	28	4	35	48	94	0	74	0	7	3	45	20	0	9	8	21	0	40	0	6	0	0	33	0	0	0	0	80	0	13	11	10	21
GO:0001518	voltage-gated sodium channel complex	cellular component	1	12	4	2	1	1	0	2	6	0	0	0	9	0	5	4	0	1	1	2	1	1	0	7	0	1	0	5	5	0	1	9	3	1	0	12	0	0	0	1
GO:0001522	pseudouridine synthesis	biological process	2409	220	914	911	2034	1603	1114	3567	628	1762	2183	2601	859	2705	1099	1588	1434	2876	1681	549	1041	1041	1457	959	1627	876	890	965	1547	3432	2463	2614	2899	573	3628	453	952	974	1292	1495
GO:0001525	angiogenesis	biological process	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	4	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
GO:0001527	microfibril	cellular component	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0001533	cornified envelope	cellular component	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	1	0	1	0	0	0	3	3	12	1	0	0	0	0	0	0
GO:0001558	regulation of cell growth	biological process	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	2	0	2	0	4	0	1	1	0	0	0	0	0	0
GO:0001570	vasculogenesis	biological process	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	4	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
GO:0001594	trace-amine receptor activity	molecular function	0	1	0	3	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0001607	neuromedin U receptor activity	molecular function	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	2	1	0	2	0	0	0	0
GO:0001609	G-protein coupled adenosine receptor activity	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0001614	purinergic nucleotide receptor activity	molecular function	10	25	18	16	22	3	1	1	4	0	3	2	25	7	20	15	0	2	6	3	0	4	3	11	4	2	3	2	10	0	1	5	0	4	0	17	1	2	0	3
GO:0001626	nociceptin receptor activity	molecular function	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0001664	G-protein coupled receptor binding	molecular function	13	6	18	10	9	2	0	1	0	1	1	0	4	4	10	29	0	0	1	10	0	3	0	0	0	5	0	5	2	0	20	2	1	7	0	5	0	2	0	0
GO:0001669	acrosomal vesicle	cellular component	4	16	7	21	6	3	2	2	7	0	0	1	28	2	4	6	0	1	4	8	3	3	1	13	0	0	3	8	7	0	2	7	6	5	1	14	0	0	0	1
GO:0001671	ATPase activator activity	molecular function	1	7	2	1	3	2	1	2	1	0	0	2	3	22	2	20	0	0	1	2	0	1	0	4	1	7	3	1	4	0	4	1	1	2	0	2	0	1	0	0
GO:0001678	cellular glucose homeostasis	biological process	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
GO:0001682	tRNA 5'-leader removal	biological process	0	2	1	3	0	2	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	1	0	2	0	0	0	0	2	0	1	0	1	1	0	2	0	0	0	0
GO:0001696	gastric acid secretion	biological process	3	4	3	5	1	0	0	0	0	0	1	0	2	2	0	4	0	0	0	2	0	0	0	3	0	0	1	1	2	0	0	0	0	3	0	2	1	0	0	0
GO:0001726	ruffle	cellular component	6	6	17	8	7	0	1	1	1	0	0	0	6	6	10	22	0	2	2	9	0	1	9	0	1	1	0	3	5	0	3	1	2	5	0	5	7	57	0	2
GO:0001733	galactosylceramide sulfotransferase activity	molecular function	2	3	2	1	0	0	1	2	3	0	0	2	8	0	2	3	1	0	0	1	0	2	0	7	1	0	1	1	0	3	0	6	0	1	0	5	0	0	0	0
GO:0001772	immunological synapse	cellular component	0	6	0	6	2	1	0	0	2	0	0	0	3	0	1	1	0	1	0	2	0	1	0	2	0	0	0	0	2	1	0	0	2	0	0	3	0	0	0	0
GO:0001819	positive regulation of cytokine production	biological process	1	4	1	1	1	4	21	0	4	0	1	2	3	4	138	42	2	8	2	23	0	0	1	3	11	99	31	46	77	0	91	15	49	62	0	16	2	2	4	2
GO:0001822	kidney development	biological process	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001836	release of cytochrome c from mitochondria	biological process	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	2	1	2	1	0	8	2	0	1	0	0	0	0	0	0
GO:0001848	complement binding	molecular function	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:0001881	receptor recycling	biological process	0	3	2	1	1	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	3	0	1	0	7	3	0	0	4	3	1	0	3	0	2	0	0
GO:0001882	nucleoside binding	molecular function	0	0	1	1	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
GO:0001919	regulation of receptor recycling	biological process	2	1	1	1	0	0	0	0	0	0	1	0	1	4	1	8	0	1	1	3	0	0	0	0	1	3	0	0	3	0	0	0	0	0	0	1	0	0	0	0
